Date,005930.KS,0700.HK,7203.T,AAPL,AIR.PA,AMZN,ASML,BABA,GOOGL,GS,JNJ,JPM,KO,MC.PA,META,MSFT,NESN.SW,NVDA,OR.PA,PFE,PG,ROG.SW,SAN.PA,SAP,SIE.DE,TSLA,TSM,TTE.PA,V,XOM
2015-01-01,21000.044921875,115.89151763916016,1095.089111328125,25.94911766052246,40.175018310546875,17.726499557495117,93.17619323730469,84.59883117675781,26.675947189331055,138.67811584472656,73.3407974243164,40.2161750793457,29.097835540771484,117.84163665771484,75.38340759277344,34.358734130859375,51.387813568115234,0.4606964588165283,133.7390899658203,18.33407974243164,61.55797576904297,173.36488342285156,53.42475509643555,55.05064392089844,57.014747619628906,13.573332786560059,16.952796936035156,23.737016677856445,58.87952423095703,54.18046951293945
2015-02-01,20876.9765625,119.3155746459961,1154.9644775390625,28.451892852783203,47.09498977661133,19.007999420166016,96.52886962890625,80.83804321289062,27.92053985595703,152.65768432617188,75.07653045654297,45.61053466796875,30.60326385498047,134.5940399169922,78.42218780517578,37.29283142089844,54.269039154052734,0.5293210744857788,136.42984008789062,20.135215759277344,62.613609313964844,180.4779815673828,57.1384391784668,59.118804931640625,63.5252799987793,13.555999755859375,18.311418533325195,25.16385269165039,62.667633056640625,54.874595642089844
2015-03-01,22169.28515625,129.236572265625,1200.8021240234375,27.668071746826172,51.44444274902344,18.604999542236328,90.56754302978516,79.05260467529297,27.52701759338379,151.66842651367188,74.19342041015625,45.089534759521484,28.65963363647461,134.79930114746094,81.649658203125,34.8259391784668,53.53961944580078,0.5041409730911255,144.08169555664062,20.591028213500977,60.267330169677734,186.9635009765625,59.89436340332031,60.7864875793457,64.08531188964844,12.584667205810547,17.52759552001953,24.141328811645508,60.54387664794922,53.07712936401367
2015-04-01,21692.36328125,141.26473999023438,1214.8687744140625,27.828174591064453,52.77226638793945,21.089000701904297,95.95519256591797,77.20071411132812,27.232736587524414,158.486572265625,73.16090393066406,47.0842399597168,28.904569625854492,128.5992889404297,78.22357177734375,41.66096115112305,53.17490768432617,0.5347315669059753,143.32489013671875,20.082021713256836,58.480079650878906,193.82945251464844,59.41875076293945,63.75126647949219,62.05521011352539,15.069999694824219,18.24423599243164,25.62238883972168,61.13628005981445,54.55706024169922
2015-05-01,20107.744140625,136.69932556152344,1250.6258544921875,28.968875885009766,52.77226638793945,21.46150016784668,101.42727661132812,84.8267593383789,27.06153106689453,166.36973571777344,73.85417938232422,49.28529357910156,29.189624786376953,134.74945068359375,78.64067077636719,40.13634490966797,54.761138916015625,0.5330453515052795,144.586181640625,20.567346572875977,58.120059967041016,198.72195434570312,58.0831413269043,62.24360656738281,60.9542236328125,16.719999313354492,18.12479591369629,24.295944213867188,63.570587158203125,53.2020378112793
2015-06-01,19507.73828125,136.15098571777344,1192.3388671875,28.006927490234375,49.5378303527832,21.704500198364258,94.04825592041016,78.13140869140625,26.799510955810547,168.9930419921875,72.40178680419922,50.768798828125,27.95676612854004,130.59432983398438,85.1750259399414,38.06095504760742,50.70475387573242,0.4866315722465515,136.66653442382812,20.009469985961914,58.00883865356445,188.5052490234375,59.34495162963867,60.081512451171875,57.49858474731445,17.884000778198242,16.952796936035156,23.025005340576172,62.26321029663086,52.38286209106445
2015-07-01,18245.08984375,127.35000610351562,1199.6065673828125,27.08475685119629,56.070526123046875,26.8075008392334,89.56848907470703,74.39910125732422,32.62846755981445,165.9821014404297,74.44474029541016,51.34571838378906,29.51666259765625,141.85464477539062,93.35786437988281,40.2592658996582,54.98649597167969,0.48275989294052124,145.50717163085938,21.5192928314209,56.86707305908203,200.80848693847656,65.88877868652344,61.313419342041016,62.01064682006836,17.74333381652832,17.02956199645996,24.143627166748047,69.85719299316406,49.87074279785156
2015-08-01,16767.0078125,115.99674987792969,1045.3858642578125,25.177881240844727,50.42007064819336,25.644500732421875,82.20756530761719,62.79383850097656,32.14809799194336,152.65139770507812,69.8165512084961,48.34046173095703,28.252071380615234,123.53071594238281,88.80963134765625,37.51783752441406,53.55924987792969,0.5439820885658264,130.43113708496094,19.227718353271484,52.825321197509766,189.94422912597656,59.29787063598633,57.540679931640625,56.2957878112793,16.604000091552734,15.311966896057129,21.856487274169922,66.1111831665039,47.371219635009766
2015-09-01,17459.861328125,113.79651641845703,1013.2626953125,24.74007225036621,45.92401885986328,25.594499588012695,79.4619140625,56.003517150878906,31.679141998291016,141.12486267089844,69.8790512084961,45.98000717163086,28.826889038085938,126.48080444335938,89.27638244628906,38.407386779785156,55.0240478515625,0.5990025401115417,132.4384307861328,18.890819549560547,53.77465057373047,184.90782165527344,57.091949462890625,55.427608489990234,50.87367248535156,16.559999465942383,15.98205852508545,21.532424926757812,64.69634246826172,47.248878479003906
2015-10-01,21124.271484375,129.02218627929688,1100.950439453125,26.80361557006836,54.99424743652344,31.295000076293945,83.80619812011719,79.6129379272461,36.59300994873047,152.2842254638672,75.62804412841797,48.45357894897461,30.69280242919922,140.9405059814453,101.26264953613281,45.679283142089844,56.789329528808594,0.6893996596336365,141.83425903320312,20.340261459350586,57.09352111816406,193.0380096435547,61.77281951904297,67.33612823486328,58.23044204711914,13.795332908630371,16.91402244567871,24.00811767578125,72.05201721191406,52.58066177368164
